CustomerID;i;big;big_index;small;small_index;Tnm1;Tnm1f;Tn;Tnf;Tnp1;Tnp1f;Rnm1;Rnm1f;Rn;Rnf;Rnp1;Rnp1f;ErTnm1;ErTn;ErTnp1;ErRnm1;ErRn;ErRnp1;RelErTnm1;RelErTn;RelErTnp1;RelErRnm1;RelErRn;RelErRnp1;ScoreNm1;ScoreN;AvgScore;y_fut;y_real;Score_next
13078;1;1;0;0;0;14.09.2011 11:55;14.09.2011 9:06;18.09.2011 12:15;03.10.2011 9:06;06.10.2011 11:27;04.10.2011 9:06;737,8;532,3861974;757,7;545,0745819;759,88;553,0089542;0;15;-2;-205,4138026;-212,6254181;-206,8710458;0;3,75;-0,111111111;-0,278413937;-0,28061953;-0,27224173;0,027841394;3,778061953;1,902951673;True;True;0,138335284
18102;3;1;1;0;0;22.09.2011 10:48;25.11.2011 9:24;28.09.2011 16:17;30.09.2011 9:24;03.10.2011 11:01;30.09.2011 9:24;10207,52;10834,83539;2839,6;10494,07155;22429,69;11354,37018;64;2;-3;627,3153931;7654,471551;-11075,31982;9,142857143;0,333333333;-0,6;0,0614562;2,695616126;-0,493779442;9,149002763;0,602894946;4,875948854;True;True;0,649377944
12682;4;1;2;0;0;15.09.2011 13:31;09.09.2011 9:28;19.09.2011 12:19;07.09.2011 9:28;10.10.2011 10:13;26.10.2011 9:28;240,28;535,0058836;339,01;523,8451319;426,58;542,1167121;9;-8;16;284,2058836;-55,44486808;115,5367121;1,5;-0,533333333;0,64;1,133197303;-0,095711765;0,270844184;1,61331973;0,54290451;1,07811212;True;True;0,667084418
18087;5;1;3;0;0;22.02.2011 10:43;22.02.2011 9:43;02.09.2011 15:12;02.09.2011 9:43;0;15.09.2011 9:43;3202,92;881,5301447;852,8;1087,936979;0;1081,704953;0;0;0;-2321,389855;235,1369789;0;0;0;0;-0,724772974;0,275723474;0;0,072477297;0,027572347;0,050024822;True;False;False
14110;7;1;4;0;0;12.09.2011 9:26;29.07.2011 9:50;14.09.2011 14:28;11.09.2011 9:50;04.10.2011 9:38;02.10.2011 9:50;523,25;398,0068991;382,74;451,8871639;304,62;443,1563888;-14;0;-1;-462,9731009;-454,1028361;138,5363888;-0,466666667;0;-0,045454545;-0,537728055;-0,501222791;0,454784285;0,520439472;0,050122279;0,285280876;True;True;0,090932974
17519;9;1;5;0;0;19.06.2011 13:55;19.06.2011 9:57;29.07.2011 12:09;11.07.2011 9:57;0;05.09.2011 9:57;200,5;322,6256586;331,9;324,9043788;0;319,2567742;0;-18;0;122,1256586;-6,995621208;0;0;-0,45;0;0,609105529;-0,021077497;0;0,060910553;0,45210775;0,256509151;True;False;False
13758;10;1;6;0;0;01.04.2011 9:21;07.03.2011 10:06;22.05.2011 15:12;08.05.2011 10:06;0;30.08.2011 10:06;316,9;660,0592453;893,37;622,4127135;0;648,6646937;-24;-14;0;343,1592453;-270,9572865;0;-0,296296296;-0,269230769;0;1,082862876;-0,303297947;0;0,404582584;0,299560564;0,352071574;True;False;False
17865;15;1;7;0;0;15.09.2011 11:47;12.09.2011 10:49;21.09.2011 13:57;25.09.2011 10:49;26.10.2011 10:11;27.09.2011 10:49;237,08;825,5605941;572,22;806,7355553;880,5;793,6494729;0;4;-28;-99,95940589;234,5155553;-86,85052706;0;0,444444444;-0,823529412;-0,108003507;0,409834601;-0,098637737;0,010800351;0,485427905;0,248114128;True;True;0,833393185
13767;17;1;8;0;0;13.09.2011 11:34;01.09.2011 10:52;19.09.2011 15:53;24.09.2011 10:52;10.10.2011 9:56;07.12.2011 10:52;371,7;635,0393379;3255,3;607,8008467;380,31;679,1542082;-12;5;59;263,3393379;-2647,499153;298,8442082;-0,545454545;0,833333333;2,95;0,708472795;-0,813288838;0,785791087;0,616301825;0,914662217;0,765482021;False;True;3,028579109
17238;18;1;9;0;0;26.07.2011 15:42;26.07.2011 10:59;16.09.2011 13:53;24.09.2011 10:59;20.10.2011 10:41;25.10.2011 10:59;218,44;249,0861152;264,31;251,1688336;282,93;248,3405671;0;8;6;30,64611515;-13,14116637;-34,58943291;0;0,153846154;0,181818182;0,140295345;-0,049718763;-0,122254384;0,014029534;0,15881803;0,086423782;True;True;0,19404362
15712;19;1;10;0;0;09.06.2011 15:48;17.05.2011 11:17;22.08.2011 11:44;01.08.2011 11:17;29.09.2011 13:03;03.12.2011 11:17;158,85;339,0012294;307,66;315,9512533;99,6;316,6735208;-23;-21;65;180,1512294;8,291253294;217,0735208;-0,221153846;-0,283783784;1,710526316;1,134096502;0,026949403;2,17945302;0,334563496;0,286478724;0,31052111;False;True;1,928471618
